data,consumo_por_residencia
2019-07-31,121.62447858045459
2019-08-31,113.75116694003667
2019-09-30,113.01856774183412
2019-10-31,131.81928809272702
2019-11-30,134.564239522191
2019-12-31,144.57684828553354
2020-01-31,133.44980662357693
2020-02-29,134.43826213325576
2020-03-31,146.58952393218763
2020-04-30,150.70738110865804
2020-05-31,141.67891145358456
2020-06-30,123.68096473929727
2020-07-31,125.31882907383321
2020-08-31,119.71696903638178
2020-09-30,121.85302754616032
2020-10-31,131.31047146152926
2020-11-30,137.14029689691216
2020-12-31,141.61449284927974
2021-01-31,143.5931883192581
2021-02-28,134.7540318484781
2021-03-31,143.94136254305866
2021-04-30,143.22855082576802
2021-05-31,126.78250975396546
2021-06-30,128.32909025764445
2021-07-31,117.1107917203249
2021-08-31,117.842259117158
